Payload_Avionics
ax,ay,az,gx,gy,gz,mpu_temp,bmp_temp,bmp_pres, bmp_alt
0.350,-0.148,11.147,-0.061,0.457,-0.091,24.624,22.600,100944.000,29.514
0.383,-0.129,11.128,-0.030,0.427,-0.061,24.624,22.600,100962.000,30.683
0.369,-0.077,11.167,-0.183,0.396,-0.122,24.530,22.600,100965.000,30.516
0.311,-0.144,11.200,-0.213,0.488,-0.091,24.577,22.600,100963.000,29.681
0.383,-0.096,11.219,-0.274,0.427,0.030,24.718,22.600,100966.000,29.764
0.316,-0.081,11.138,-0.152,0.427,-0.122,24.671,22.600,100953.000,30.766
0.330,-0.067,11.171,-0.152,0.427,7.774,24.671,22.600,100959.000,30.683
0.350,-0.101,11.143,-0.213,0.427,-0.091,24.671,22.600,100963.000,29.931
0.350,-0.144,11.133,-0.091,0.549,-0.183,24.624,22.600,100950.000,31.267
0.402,-0.105,11.133,-7.805,0.549,0.000,24.624,22.600,100953.000,30.683
0.402,-0.072,11.238,-0.213,0.366,-0.183,24.577,22.600,100962.000,30.683
0.397,-0.081,11.114,-0.183,0.305,-0.152,24.671,22.600,100957.000,29.931
0.330,-0.115,12.249,-0.244,0.427,-7.774,24.671,22.600,100956.000,30.516
0.335,-0.105,11.162,-0.091,0.244,-0.030,24.530,22.600,100956.000,30.516
0.431,-0.081,11.071,-0.152,0.244,-7.713,24.624,22.600,100965.000,31.017
0.364,-0.091,11.224,-0.152,0.427,-0.183,24.624,22.600,100959.000,30.182
0.354,-0.177,11.076,-0.244,0.366,7.744,24.624,22.600,100960.000,31.184
0.364,-0.101,11.128,-0.122,0.305,-0.152,24.624,22.600,100950.000,30.432
0.345,-0.144,11.114,-0.152,0.274,-0.061,24.624,22.600,100968.000,29.764
0.359,-0.129,11.104,7.744,0.305,-0.244,24.671,22.600,100962.000,29.764
